web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1574834581-19424","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/results/#/page/6/","Blooming - San Jose","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/blooming-san-jose-IRoUzGgi/","Unibet","2.29","3.15","2.80","90.0%","Final result 0:0 (0:0, 0:0)","04 Aug  2013","00:00"
"1574838770-26010","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/results/#/page/2/","The Strongest - Ciclon","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/the-strongest-ciclon-YeTN5uI3/","Unibet","1.25","5.25","9.00","90.8%","Final result 4:2 (2:0, 2:2)","17 Apr  2016","19:00"
"1574835238-21061","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/results/#/page/2/","Blooming - Real Potosi","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2013-2014/blooming-real-potosi-OrsOiYzq/","bwin","1.70","3.40","4.33","89.8%","Final result 2:0 (1:0, 1:0)","12 Apr  2014","21:00"
"1574826415-14585","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/results/#/page/3/","Real Potosi - Blooming","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/real-potosi-blooming-Ai7USKvs/","bwin","1.45","3.75","6.50","90.1%","Final result 3:1","31 May  2009","20:00"
"1574828821-15323","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/results/#/page/6/","The Strongest - Guabira","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2010/the-strongest-guabira-2BIVhwA1/","Unibet","1.55","3.50","5.50","89.9%","Final result 2:1 (1:1, 1:0)","31 Mar  2010","22:00"
"1574833603-17642","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/results/","Blooming - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2011-2012/blooming-oriente-petrolero-Moypgqrf/","bwin","2.40","3.10","2.70","90.1%","Final result 2:2 (2:2, 0:0)","29 Apr  2012","22:30"
"1574837161-24186","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/results/#/page/5/","Wilstermann - Blooming","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2015-2016/wilstermann-blooming-OzyCsyP3/","William Hill","1.73","3.40","4.00","89.1%","Final result 3:2 (1:0, 2:2)","23 Aug  2015","21:15"
"1574836607-23737","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/","Nacional Potosi - The Strongest","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/nacional-potosi-the-strongest-lnOwgHdP/","18bet","3.95","3.56","1.71","89.4%","Final result 4:3 (2:1, 2:2)","30 Apr  2015","00:00"
"1574823826-14286","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/results/#/page/5/","San Jose - Blooming","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2009/san-jose-blooming-QkKDEkS7/","bwin","1.80","3.25","3.95","-","Final result 2:1","15 Mar  2009","19:30"
"1574835956-23120","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/results/#/page/2/","The Strongest - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/liga-de-futbol-prof-2014-2015/the-strongest-oriente-petrolero-bDLx8M3B/","William Hill","2.25","3.40","2.88","92.1%","Final result 4:3 (0:1, 4:2)","22 Feb  2015","00:00"
