web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
1574866068-30598,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,1xBet,1.42,4.9,6.05,93.10%,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30608,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,null,null,null,null,null,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30607,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,William Hill,1.42,4.6,6,91.90%,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30597,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,18bet,1.45,4.3,5.25,89.90%,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30604,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,Coolbet,1.43,4.2,6.25,91.10%,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30605,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,Marathonbet,1.45,4.85,6.15,94.50%,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30599,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,Asianodds,1.48,4.3,5,90.20%,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30602,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,Bethard,1.47,4.4,5.25,91.10%,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30606,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,Unibet,1.44,4.25,5.3,-,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30600,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,bet-at-home,1.42,4.14,5.41,88.40%,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30603,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,bwin,1.44,4.1,5.75,89.90%,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866068-30601,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Destroyers - Industrial Aviles,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/destroyers-industrial-aviles-4t3Whcfb/,bet365,1.4,4.5,6.5,91.70%,"Final result 2:0 (0:0, 2:0)",27-Dec-18,0:30
1574866065-30591,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Industrial Aviles - Destroyers,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/industrial-aviles-destroyers-AJ3Sgwuh/,Bethard,1.57,3.7,5.2,90.90%,"Final result 1:2 (1:2, 0:0)",23-Dec-18,19:30
1574866065-30587,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Industrial Aviles - Destroyers,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/industrial-aviles-destroyers-AJ3Sgwuh/,18bet,1.56,3.7,4.2,87.00%,"Final result 1:2 (1:2, 0:0)",23-Dec-18,19:30
1574866065-30592,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Industrial Aviles - Destroyers,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/industrial-aviles-destroyers-AJ3Sgwuh/,Coolbet,1.64,3.6,4.75,91.10%,"Final result 1:2 (1:2, 0:0)",23-Dec-18,19:30
1574866065-30596,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Industrial Aviles - Destroyers,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/industrial-aviles-destroyers-AJ3Sgwuh/,null,null,null,null,null,"Final result 1:2 (1:2, 0:0)",23-Dec-18,19:30
1574866065-30588,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Industrial Aviles - Destroyers,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/industrial-aviles-destroyers-AJ3Sgwuh/,Asianodds,1.55,3.7,4.2,86.70%,"Final result 1:2 (1:2, 0:0)",23-Dec-18,19:30
1574866065-30595,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Industrial Aviles - Destroyers,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/industrial-aviles-destroyers-AJ3Sgwuh/,William Hill,1.73,3.8,4,91.60%,"Final result 1:2 (1:2, 0:0)",23-Dec-18,19:30
1574866065-30589,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Industrial Aviles - Destroyers,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/industrial-aviles-destroyers-AJ3Sgwuh/,bet-at-home,1.85,3.27,3.52,-,"Final result 1:2 (1:2, 0:0)",23-Dec-18,19:30
1574866065-30590,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Industrial Aviles - Destroyers,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/industrial-aviles-destroyers-AJ3Sgwuh/,bet365,1.64,3.75,5,92.90%,"Final result 1:2 (1:2, 0:0)",23-Dec-18,19:30
1574866065-30594,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Industrial Aviles - Destroyers,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/industrial-aviles-destroyers-AJ3Sgwuh/,Unibet,1.55,3.7,5.1,-,"Final result 1:2 (1:2, 0:0)",23-Dec-18,19:30
1574866065-30593,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/results/,Industrial Aviles - Destroyers,https://www.oddsportal.com/soccer/bolivia/division-profesional-2018/industrial-aviles-destroyers-AJ3Sgwuh/,Marathonbet,1.7,3.88,4.7,94.50%,"Final result 1:2 (1:2, 0:0)",23-Dec-18,19:30
