web-scraper-order,web-scraper-start-url,match,match-href,Bookmakers,Home Odds,Draw Odds,Away Odds,Payout,results,date,time
"1579704185-16","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Sport Boys - Nacional Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/sport-boys-nacional-potosi-KS1nnlyd/","bet365","2.37","3.50","2.62","91.8%","Final result 0:0 (0:0, 0:0)","07 Dec  2019","19:00"
"1579704248-176","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Aurora - Wilstermann","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/aurora-wilstermann-8lrs8VcF/","MrGreen","5.50","4.25","1.43","-","Final result 0:2 (0:0, 0:2)","13 Dec  2019","00:30"
"1579704299-290","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Aurora - Real Potosi","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/aurora-real-potosi-Y9h1abBC/","Asianodds","2.21","4.28","2.76","95.4%","Final result 0:0 (0:0, 0:0)","18 Dec  2019","22:15"
"1579704270-222","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Bolivar - Aurora","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/bolivar-aurora-YeDSpadJ/","bwin","1.04","10.50","20.00","-","Bolivar awarded (5:0)","15 Dec  2019","20:00"
"1579704413-512","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Aurora - Destroyers","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/aurora-destroyers-UaM3Doih/","null","null","null","null","null","Final result 1:0 (0:0, 1:0)","25 Dec  2019","20:00"
"1579704279-244","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Royal Pari - Sport Boys","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/royal-pari-sport-boys-6qrs4Mds/","bet365","2.05","3.50","2.90","89.4%","Final result 0:1 (0:0, 0:1)","15 Dec  2019","21:15"
"1579704372-437","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","The Strongest - Always Ready","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/the-strongest-always-ready-nyXbERyn/","MrGreen","1.06","10.00","15.00","-","Final result 3:2 (2:2, 1:0)","25 Dec  2019","20:00"
"1579704240-158","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","The Strongest - Oriente Petrolero","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/the-strongest-oriente-petrolero-ERrw9Br9/","Asianodds","1.06","12.43","23.99","93.8%","Final result 2:0 (0:0, 2:0)","13 Dec  2019","00:30"
"1579704372-436","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","The Strongest - Always Ready","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/the-strongest-always-ready-nyXbERyn/","Coolbet","1.06","10.00","17.00","90.7%","Final result 3:2 (2:2, 1:0)","25 Dec  2019","20:00"
"1579704304-311","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/results/","Blooming - Destroyers","https://www.oddsportal.com/soccer/bolivia/division-profesional-2019/blooming-destroyers-tzd9cxtP/","William Hill","1.38","4.75","6.50","91.8%","Final result 1:0 (1:0, 0:0)","19 Dec  2019","00:30"
